Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly) 
 07/21  03:00:00,31109738.58033649,747231.8181508987,464980.9786745365,272139.4137419008,11753999.49385319,0.0,417141.8065638455,5175508.6010507,12104025.145224486,174711.32307692307,0.0 
 07/21  04:00:00,29307617.876947553,747231.8181508987,464980.9786745365,272139.4137419008,10756931.27323491,0.0,383155.3753219339,4782693.335310202,11725774.359436213,174711.32307692307,0.0 
 07/21  05:00:00,29490132.62053761,830800.7824789592,517042.6460280523,279326.8924848322,10002620.967154904,0.0,356760.22777750258,5224844.636311972,12104025.145224486,174711.32307692307,0.0 
 07/21  06:00:00,33546539.178735094,2279736.90256547,1418531.5175705115,0.0,10931567.733827554,0.0,389891.01029740207,5869824.760384507,12482275.931012735,174711.32307692307,0.0 
 07/21  07:00:00,46192671.930211249,5352080.362597074,3330397.9653719367,0.0,14071081.819804106,0.0,496728.24855112077,8772393.13664425,13995279.074165788,174711.32307692304,0.0 
 07/21  08:00:00,56220872.56933717,6772905.533074146,4214493.236379812,0.0,15830499.725155626,0.0,550816.4899469798,12790913.258596557,15886533.003107114,174711.32307692307,0.0 
 07/21  09:00:00,59985927.10539649,7197625.315216756,4478852.137655444,0.0,15816891.007627303,0.0,538443.8108132281,15514619.722111287,16264783.78889539,174711.32307692307,0.0 
 07/21  10:00:00,47623482.843965139,7398679.715684263,4603943.100404167,0.0,654476.5577212612,0.0,20419.374007548424,18506468.984175307,16264783.78889539,174711.32307692307,0.0 
 07/21  11:00:00,49442862.419991407,7197472.538316704,4478733.003405208,0.0,2009952.2770388546,0.0,63636.433692339684,19253572.374453196,16264783.78889539,174712.00418961913,0.0 
 07/21  12:00:00,52674594.778125498,6918807.47262314,4305273.535060312,0.0,4100372.830513347,0.0,129355.0090447928,20403040.03312309,16643034.57468367,174711.32307692307,0.0 
 07/21  13:00:00,54484790.45492714,6717600.295255575,4180063.4380613539,0.0,5923994.2293602279,0.0,186892.57435971837,20280243.23434148,17021285.360471917,174711.32307692307,0.0 
 07/21  14:00:00,55307441.3393342,6658475.6349357259,4143250.954738158,0.0,8741525.003335983,0.0,272384.05384632918,18295809.008929269,17021285.360471917,174711.32307692307,0.0 
