Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),WaterSystems:Electricity [J](Hourly) 
 02/09  04:00:00,28221504.220130914,747231.8181508987,464980.9786745365,272139.4137419008,1876151.752779638,0.0,376871.05994439419,3827688.5266093469,17952860.377358509,174711.32307692307,2528868.9697948258 
 02/09  05:00:00,29049920.009086536,830800.7824789592,517042.6460280523,301001.6125189955,1380998.7137392429,0.0,358579.4976292992,4306401.897551696,18531984.905660374,174711.32307692307,2648398.6304030308 
 02/09  06:00:00,36629872.53692211,2279736.90256547,1418531.5175705115,822423.298920225,1130979.9019665279,3548628.3619465318,393966.47315278727,4981726.8006359939,19111109.433962268,174711.32307692304,2768058.5231249376 
 02/09  07:00:00,47207030.171720597,5352080.362597074,3330397.9653719367,1448117.1588262248,1435345.7978840748,2894868.3077245897,396100.1670915588,7860274.258021971,21427607.547169798,174711.32307692307,2887527.2839565847 
 02/09  08:00:00,55642874.399503339,6772905.533074146,4214493.236379812,0.0,2394910.099641039,2589749.8182715887,427917.86844296628,11762083.787051518,24323230.18867926,174711.32307692307,2982872.5448862186 
 02/09  09:00:00,58130316.11407656,7197625.315216756,4478852.137655444,0.0,2575367.977720489,1189823.5652807325,416555.44520421887,14130331.600459932,24902354.716981118,174711.32307692307,3064694.0324810075 
 02/09  10:00:00,58156777.78633177,7398679.715684263,4603943.100404167,0.0,157004.93160713855,800447.7638531382,322075.23575446408,16649905.050285642,24902354.716981118,174711.32307692307,3147655.9486848504 
 02/09  11:00:00,58064254.48310717,7197472.538316704,4478733.003405208,0.0,190317.49785609969,524393.6342974823,319737.7479286042,17044605.15131696,24902354.716981118,174711.32307692307,3231928.869928153 
 02/09  12:00:00,59234945.31262912,6918807.47262314,4305273.535060312,0.0,226046.92330683169,323093.0150424194,318585.30358753298,18280417.53652324,25481479.245282998,174711.8841786607,3206530.397024171 
 02/09  13:00:00,59263722.72350756,6717600.295255575,4180063.4380613539,0.0,271674.29312558696,486269.35593732839,321820.53801733927,18426841.2305208,26060603.773584907,174711.48752749829,2624138.311477316 
 02/09  14:00:00,56935043.47922958,6658475.6349357259,4143250.954738158,0.0,340271.0727789302,58793.27051944088,319644.4572088466,16397441.615595518,26060603.773584907,174711.32307692307,2781851.376791043 
 02/09  15:00:00,57069802.40683551,6738836.284362706,4193287.3398376468,0.0,739521.0705385523,0.0,332432.6450427786,16474605.074161819,25481479.245282998,174711.32307692307,2934929.4245322949 
 02/09  16:00:00,59353634.56606528,7264541.597439226,4520429.990988115,0.0,1912087.0624717836,0.0,373721.0130671396,15400393.042389889,26639728.301886795,174711.32307692307,3068022.2347456195 
 02/09  17:00:00,68467321.60166845,8764199.64834277,5453608.573093584,0.0,2442408.7949974795,0.0,393238.851495618,20314766.301088863,27797977.358490588,174711.74867657384,3126410.3254831095 
 02/09  18:00:00,101101374.98691647,11596225.044593677,7215842.402597489,2716916.958626338,18492488.157132694,0.0,989331.7990471608,27002650.834350539,30114475.471698125,174711.62918800378,2798732.6896825365 
 02/09  19:00:00,98956528.73276685,14507388.875071165,9027397.811699463,4687055.575693236,12968598.733771226,54283.81535289143,785713.476204447,23151923.60059998,30693600.0,174711.32307692307,2905855.5212973009 
 02/09  20:00:00,90638651.23471882,15124913.10507851,9411605.768713396,5369331.348869315,11197203.601234509,0.0,719782.6541788231,16631012.19537,28956226.415094329,174711.32307692307,3053864.8231028115 
 02/09  21:00:00,80707006.28018469,12856328.916216782,7999984.037656624,5085296.064472827,9665578.135727946,0.0,663333.1557008575,13875337.717232075,27218852.83018867,174711.32307692307,3167584.099912285 
 02/09  22:00:00,71480606.12125091,9736013.509569077,6058334.027295979,4089467.3765159586,8578103.235815244,0.0,623250.324215438,12905688.38940534,26060603.773584907,174711.32307692307,3254434.16177206 
 02/09  23:00:00,62031623.552279237,8377215.760512831,5212719.119114616,3606194.0775761606,7004723.334663257,0.0,566203.2119994229,10584203.508468977,23164981.132075468,174711.32307692307,3340672.0847918086 
 02/09  24:00:00,45445105.7853146,3762436.7175633169,2341226.285655135,1370171.3147942557,5626955.3821274819,0.0,515335.46561055487,7474795.4622174,20848483.01886791,174711.48937491835,3330990.649103752 
 02/10  01:00:00,37901852.22664135,1868155.9338272736,1162512.0138114598,680348.5343547517,4638953.125861123,0.0,478808.7976258593,5336222.4907335559,20269358.49056605,174711.32307692307,3292781.516784414 
 02/10  02:00:00,33909019.44790245,1120924.1156763742,697531.0351369232,408209.12061285096,3744112.9670067925,0.0,445794.45586965008,4791673.790032356,19111109.433962268,174711.32307692307,3414953.2065283556 
 02/10  03:00:00,31076880.82751798,747231.8181508987,464980.9786745365,272139.4137419008,2860398.507258033,0.0,413201.4586997036,4142562.3853859559,18531984.905660374,174711.36803995018,3469669.9919066817 
 02/10  04:00:00,29505392.448227467,747231.8181508987,464980.9786745365,272139.4137419008,2114488.6767249528,0.0,385680.4604640701,3827688.5266093469,17952860.377358509,174711.32307692307,3565610.873426381 
 02/10  05:00:00,30288766.98109965,830800.7824789592,517042.6460280523,301001.6125189955,1582324.5011850999,0.0,366031.20381697258,4306401.897551696,18531984.905660374,174711.32307692307,3678468.1087826269 
 02/10  06:00:00,36587433.8591755,2279736.90256547,1418531.5175705115,822423.298920225,1292961.374508671,3390664.517192904,374236.5143518867,4981726.8006359939,19111109.433962268,174712.18289830586,2741331.316569344 
 02/10  07:00:00,47013510.67563696,5352080.362597074,3330397.9653719367,1448117.1588262248,1596692.9244868593,2708816.8510602365,398661.19397500579,7860274.258021971,21427607.547169798,174711.58607349118,2716150.828054484 
 02/10  08:00:00,55654230.46816804,6772905.533074146,4214493.236379812,0.0,1762237.1118607615,2410104.280299047,401151.6123616457,11762083.787051518,24323230.18867926,174711.41392465757,3833313.3045373514 
 02/10  09:00:00,58466495.94681033,7197625.315216756,4478852.137655444,0.0,1164535.1597170304,1005781.1074257185,361846.8011008651,14130331.600459932,24902354.716981118,174711.93868660413,5050457.169566937 
 02/10  10:00:00,78988008.39604534,7398679.715684263,4603943.100404167,0.0,103557.63437320171,647902.3245236442,203019.1743429653,16649905.050285642,24902354.716981118,174712.16349784926,24303934.51595243 
 02/10  11:00:00,57247498.45082036,7197472.538316704,4478733.003405208,0.0,110751.35866136872,407878.01882165836,315738.17755593886,17044605.15131696,24902354.716981118,174711.32307692307,2615254.1626845619 
 02/10  12:00:00,58595795.93657242,6918807.47262314,4305273.535060312,0.0,137669.60183055743,251991.31611964754,314857.4823254169,18280417.53652324,25481479.245282998,174711.36465170465,2730588.382155588 
 02/10  13:00:00,59297125.703072529,6717600.295255575,4180063.4380613539,0.0,146928.68576395216,427183.6843593228,316919.380770594,18426841.2305208,26060603.773584907,174711.32307692307,2846273.891679237 
 02/10  14:00:00,56926638.34111063,6658475.6349357259,4143250.954738158,0.0,157321.40361067217,68767.95983088442,313443.1226048315,16397441.615595518,26060603.773584907,174711.32307692307,2952622.5531329226 
 02/10  15:00:00,56651020.44839364,6738836.284362706,4193287.3398376468,0.0,178170.6489469916,60519.28212952712,313881.60249103509,16474605.074161819,25481479.245282998,174711.32307692307,3035529.648104198 
 02/10  16:00:00,57681355.018640417,7264541.597439226,4520429.990988115,0.0,196852.15929291925,52540.11540453398,314279.4056947869,15400393.042389889,26639728.301886795,174711.32307692307,3117879.082467413 
 02/10  17:00:00,66344714.80803293,8764199.64834277,5453608.573093584,0.0,320327.70919804586,0.0,317569.04192973786,20314766.301088863,27797977.358490588,174711.32307692307,3201554.852812545 
 02/10  18:00:00,95323192.7899621,11596225.044593677,7215842.402597489,2716916.958626338,12268942.299771147,184630.6316136312,762097.4522759547,27002650.834350539,30114475.471698125,174711.32307692307,3286700.371358411 
 02/10  19:00:00,95795915.19049788,14507388.875071165,9027397.811699463,4687055.575693236,9213225.759397928,316773.9346063788,650343.8148041398,23151923.60059998,30693600.0,174711.32307692307,3373494.495548431 
 02/10  20:00:00,87990742.59366402,15124913.10507851,9411605.768713396,5369331.348869315,8389303.371507192,0.0,616548.9760085463,16631012.19537,28956226.415094329,174711.42685958625,3317089.986162953 
 02/10  21:00:00,78760267.28413588,12856328.916216782,7999984.037656624,5085296.064472827,7550994.193567321,0.0,585609.3911507326,13875337.717232075,27218852.83018867,174711.32307692307,3413152.810574165 
 02/10  22:00:00,70228174.2589022,9736013.509569077,6058334.027295979,4089467.3765159586,7111399.086131867,0.0,569391.561858068,12905688.38940534,26060603.773584907,174711.32307692307,3522565.2114640839 
 02/10  23:00:00,61413072.5926834,8377215.760512831,5212719.119114616,3606194.0775761606,6131140.450550094,0.0,534111.4262541453,10584203.508468977,23164981.132075468,174711.32307692307,3627795.795054423 
 02/10  24:00:00,45397886.31517723,3762436.7175633169,2341226.285655135,1370171.3147942557,5190490.348245921,0.0,499371.5824258041,7474795.4622174,20848483.01886791,174711.32307692307,3736200.262330694 
 02/11  01:00:00,108292776.12173917,1868155.9338272736,1162512.0138114598,680348.5343547517,4574095.839624268,0.0,373444.69705702157,5592774.175862083,20269358.49056605,174714.3212317928,73597372.11540456 
 02/11  02:00:00,52804912.27454374,1120924.1156763742,697531.0351369232,408209.12061285096,3465891.5943028356,0.0,435668.4741703338,4945604.801109471,19111109.433962268,174711.81063507414,22445261.88893768 
 02/11  03:00:00,30351961.79533336,747231.8181508987,464980.9786745365,272139.4137419008,2825786.5795398827,0.0,412001.1156664826,4245183.059437366,18531984.905660374,174711.32307692307,2677942.6013850688 
 02/11  04:00:00,28888763.831779876,747231.8181508987,464980.9786745365,272139.4137419008,2211576.190704576,0.0,389311.24517216006,3878998.863635052,17952860.377358509,174711.32307692307,2796953.6212653706 
 02/11  05:00:00,29720633.79386021,830800.7824789592,517042.6460280523,301001.6125189955,1673265.4182504174,0.0,369427.6869125649,4409022.571603107,18531984.905660374,174711.32307692307,2913376.8473308759 
 02/11  06:00:00,33732127.829195339,2279736.90256547,1418531.5175705115,822423.298920225,1426401.2665358473,0.0,360308.9249473317,5135657.81171311,19111109.433962268,174711.32307692307,3003247.3499037448 
 02/11  07:00:00,48606326.6377776,5352080.362597074,3330397.9653719367,1448117.1588262248,1843552.5246875352,3266516.333641916,413886.38519994649,8270756.954227615,21427607.547169798,174711.33353746919,3078700.072518215 
 02/11  08:00:00,55818237.35689977,6772905.533074146,4214493.236379812,0.0,1681162.319649311,2506791.823891468,399470.8071927671,12583049.179462806,24323230.18867926,174711.32307692307,3162422.9454933258 
 02/11  09:00:00,58844380.72218199,7197625.315216756,4478852.137655444,0.0,859129.0975124245,2256946.2794239188,366072.402260567,15361779.68907686,24902354.716981118,174711.32307692307,3246909.76097799 
 02/11  10:00:00,61933113.15260626,7398679.715684263,4603943.100404167,0.0,715415.6016550002,2052477.4992541949,358057.5866842915,18394456.509159589,24902354.716981118,174711.32307692307,3333017.099706611 
 02/11  11:00:00,62050326.80106872,7197472.538316704,4478733.003405208,0.0,660295.6499014614,1906020.7038941805,354257.4118079499,19045708.295319439,24902354.716981118,174711.3973158948,3330773.0841267576 
 02/11  12:00:00,63439296.8215871,6918807.47262314,4305273.535060312,0.0,683844.3843285451,1775924.4668788005,353584.4786721635,20358486.18606427,25481479.245282998,174711.32307692307,3387185.7295999878 
 02/11  13:00:00,63692150.98006365,6717600.295255575,4180063.4380613539,0.0,697477.7794938949,1690886.2829972176,353002.8625241311,20325323.700471946,26060603.773584907,174711.32307692307,3492481.5245978154 
 02/11  14:00:00,61396763.092792417,6658475.6349357259,4143250.954738158,0.0,686903.5236116651,1608092.713671942,351593.94224357497,18116337.905956665,26060603.773584907,174711.32307692307,3596793.320972988 
 02/11  15:00:00,60844840.14832038,6738836.284362706,4193287.3398376468,0.0,1048923.9360512072,1206605.8394453712,359945.86497662888,17936949.67939442,25481479.245282998,174711.32307692307,3704100.6358927094 
 02/11  16:00:00,66705560.087703827,7264541.597439226,4520429.990988115,0.0,2565251.3482878969,613383.6665909522,264241.9630729275,22657773.60599696,26639728.301886795,174711.53840778193,2005498.0750332413 
 02/11  17:00:00,67703960.28399827,8764199.64834277,5453608.573093584,0.0,3136395.419413516,529641.7626771119,121625.62960830158,21725800.569295736,27797977.358490588,174711.32307692307,0.0 
 02/11  18:00:00,88768778.20400445,11596225.044593677,7215842.402597489,2716916.958626338,3527861.544453924,0.0,283803.18611916786,31635714.70352011,30114475.471698125,174711.4429077812,1503227.4494875044 
 02/11  19:00:00,111754845.67552322,14507388.875071165,9027397.811699463,4687055.575693236,5263633.076940635,0.0,502226.22215556699,44175215.44949788,30693600.0,174712.01522521903,2723616.6492397498 
 02/11  20:00:00,89863405.20671003,15124913.10507851,9411605.768713396,5369331.348869315,4149512.0069359329,0.0,461035.0353831262,21644649.834778135,28956226.415094329,174711.44906770366,4571420.242789367 
 02/11  21:00:00,76371913.40310025,12856328.916216782,7999984.037656624,5085296.064472827,3522747.0286721966,0.0,437839.41985013897,15209406.479900407,27218852.83018867,174711.38736387329,3866747.2387789499 
 02/11  22:00:00,77404163.76721044,9736013.509569077,6058334.027295979,4089467.3765159586,3538123.7853698197,0.0,438383.6557585744,14291067.48909939,26060603.773584907,174711.91928481445,13017458.23073198 
 02/11  23:00:00,58175788.774454709,8377215.760512831,5212719.119114616,3606194.0775761606,2858571.7422435537,0.0,413265.16253739167,11713030.92303448,23164981.132075468,174711.32307692307,2655099.5342834496 
 02/11  24:00:00,41735927.49339484,3762436.7175633169,2341226.285655135,1370171.3147942557,1978146.806332667,0.0,380725.6611762683,8090519.506525862,20848483.01886791,174711.32307692307,2789506.8594025827 
 02/12  01:00:00,37079495.53239966,1868155.9338272736,1162512.0138114598,680348.5343547517,1663409.673581836,0.0,369092.2268378146,8010594.8594473679,20269358.49056605,174711.4079483892,2881312.392024844 
 02/12  02:00:00,31000479.706661885,1120924.1156763742,697531.0351369232,408209.12061285096,1248301.6885543625,0.0,353745.0063967425,4945604.801109471,19111109.433962268,174711.32307692307,2940343.182136048 
 02/12  03:00:00,33979124.41442503,747231.8181508987,464980.9786745365,272139.4137419008,1257910.5086611117,0.0,354110.29767872326,9219882.60290248,18531984.905660374,174711.49857181216,2956172.3903832456 
 02/12  04:00:00,27676817.203624265,747231.8181508987,464980.9786745365,272139.4137419008,898238.5679675184,0.0,340803.0755356391,3878998.863635052,17952860.377358509,174711.32307692307,2946852.7854833465 
 02/12  05:00:00,28939148.882398886,830800.7824789592,517042.6460280523,301001.6125189955,777296.2174794414,0.0,336327.08717939918,4409022.571603107,18531984.905660374,174711.32307692307,3060961.73637369 
 02/12  06:00:00,33238729.107234688,2279736.90256547,1418531.5175705115,822423.298920225,792105.692551779,0.0,336878.62190446376,5135657.81171311,19111109.433962268,174711.32307692307,3167574.504970027 
 02/12  07:00:00,44664480.55041889,5352080.362597074,3330397.9653719367,1448117.1588262248,1049904.7882677594,0.0,346421.9052091688,8270756.954227615,21427607.547169798,174711.32307692307,3264482.545672545 
 02/12  08:00:00,52929608.21263006,6772905.533074146,4214493.236379812,0.0,1149231.8820811245,0.0,350092.42320870058,12583049.179462806,24323230.18867926,174711.32307692307,3361894.4466673347 
 02/12  09:00:00,56106191.60804014,7197625.315216756,4478852.137655444,0.0,520846.56395082539,0.0,326838.4657058577,15361779.68907686,24902354.716981118,174711.50608313064,3143183.2133701399 
 02/12  10:00:00,59417550.61004758,7398679.715684263,4603943.100404167,0.0,387397.8510303161,0.0,321903.76547778837,18394456.509159589,24902354.716981118,174711.32307692307,3234103.6282333217 
 02/12  11:00:00,59890742.17067435,7197472.538316704,4478733.003405208,0.0,420294.28949966598,0.0,323122.11239740179,19045708.295319439,24902354.716981118,174711.32808878908,3348345.8866660029 
 02/12  12:00:00,61519740.73031601,6918807.47262314,4305273.535060312,0.0,490380.14073975969,0.0,325715.818813544,20358486.18606427,25481479.245282998,174711.32307692307,3464887.008655101 
 02/12  13:00:00,61467536.93226892,6717600.295255575,4180063.4380613539,0.0,558710.4789568319,0.0,328246.69633733169,20325323.700471946,26060603.773584907,174711.97941109327,3122276.570189993 
 02/12  14:00:00,58672340.37490556,6658475.6349357259,4143250.954738158,0.0,574040.9375037795,0.0,328815.8821227448,18116337.905956665,26060603.773584907,174711.32307692307,2616103.962986764 
 02/12  15:00:00,58184502.74266674,6738836.284362706,4193287.3398376468,0.0,606848.2581174495,0.0,330033.120262683,17936949.67939442,25481479.245282998,174711.61051176399,2722357.204897314 
 02/12  16:00:00,72116404.06555318,7264541.597439226,4520429.990988115,0.0,739625.0554965569,0.0,334953.2997067708,16965358.321673868,26639728.301886795,174712.06933200247,15477055.429030043 
 02/12  17:00:00,70301631.86342149,8764199.64834277,5453608.573093584,0.0,1359514.1396310307,0.0,357921.2738300852,21725800.569295736,27797977.358490588,174711.36064603309,4667898.940091883 
 02/12  18:00:00,95440293.96086304,11596225.044593677,7215842.402597489,2716916.958626338,2293138.0956839255,0.0,392483.20066366266,28388029.93404451,30114475.471698125,174711.6679010489,12548471.185054018 
 02/12  19:00:00,238276754.9836682,14507388.875071165,9027397.811699463,4687055.575693236,3612873.2005442448,0.0,364367.9885987459,24460337.19475549,30693600.0,174721.9048011325,150749012.43250448 
 02/12  20:00:00,108343962.85507931,15124913.10507851,9411605.768713396,5369331.348869315,3718584.2226158867,0.0,368288.53152698909,17939425.78952552,28956226.415094329,174711.37820186607,27280876.295453393 
 02/12  21:00:00,91229775.2171056,12856328.916216782,7999984.037656624,5085296.064472827,3508714.069048204,0.0,437390.9167876655,15209406.479900407,27218852.83018867,174711.60085660668,18739090.30197805 
 02/12  22:00:00,66956446.207851167,9736013.509569077,6058334.027295979,4089467.3765159586,3583866.950818456,0.0,440145.3622230285,14291067.48909939,26060603.773584907,174711.32307692307,2522236.3956675168 
 02/12  23:00:00,58582347.07572291,8377215.760512831,5212719.119114616,3606194.0775761606,3263475.828131552,0.0,428294.69241246519,11713030.92303448,23164981.132075468,174711.32307692307,2641724.2197885836 
 02/12  24:00:00,42159022.36765192,3762436.7175633169,2341226.285655135,1370171.3147942557,2414288.3022733035,0.0,396889.1151011983,8090519.506525862,20848483.01886791,174711.32307692307,2760296.783794109 
 02/13  01:00:00,34664546.958808679,1868155.9338272736,1162512.0138114598,680348.5343547517,1914415.701090526,0.0,378401.1050204891,5336222.4907335559,20269358.49056605,174711.32307692307,2880421.36632771 
 02/13  02:00:00,31279727.753231668,1120924.1156763742,697531.0351369232,408209.12061285096,1628313.8763353124,0.0,367819.22119354506,4791673.790032356,19111109.433962268,174711.33631941689,2979435.8239626798 
 02/13  03:00:00,28862013.243198374,747231.8181508987,464980.9786745365,272139.4137419008,1306661.1587598646,0.0,355931.5542967975,4142562.3853859559,18531984.905660374,174711.55558690945,2865809.4729411879 
 02/13  04:00:00,27693522.040336264,747231.8181508987,464980.9786745365,272139.4137419008,1128381.7207179224,0.0,349343.90283571116,3827688.5266093469,17952860.377358509,174711.4240877258,2776183.878159761 
 02/13  05:00:00,28929558.620159404,830800.7824789592,517042.6460280523,301001.6125189955,1021916.9081489404,0.0,345404.62663041826,4306401.897551696,18531984.905660374,174711.32307692307,2900293.918065083 
 02/13  06:00:00,36669505.59915402,2279736.90256547,1418531.5175705115,822423.298920225,1017517.7089600738,3522619.943912711,386403.29383817137,4981726.8006359939,19111109.433962268,174711.4003748758,2954725.29841378 
 02/13  07:00:00,58103462.1570778,5352080.362597074,3330397.9653719367,965411.4392174832,2186539.974753881,2616578.2444578355,417515.63510872176,18661781.40473415,21427607.547169798,174711.64348081716,2970837.9401861506 
 02/13  08:00:00,149348512.507762,6772905.533074146,4214493.236379812,0.0,4977482.3209627,2226694.1678203849,516270.4000893588,58782278.39648596,24323230.18867926,174712.61862814585,47360445.64564233 
 02/13  09:00:00,55952782.675874758,7197625.315216756,4478852.137655444,0.0,1509654.0322569984,755496.5872465989,371265.3559700542,14130331.600459932,24902354.716981118,174711.32307692307,2432491.607010994 
 02/13  10:00:00,57228448.761040497,7398679.715684263,4603943.100404167,0.0,136798.9584917709,495434.8322440373,317652.9082303904,16649905.050285642,24902354.716981118,174711.32307692307,2548968.155642115 
 02/13  11:00:00,57256404.849721718,7197472.538316704,4478733.003405208,0.0,123063.21118849927,353595.04821930386,315557.8242270744,17044605.15131696,24902354.716981118,174711.32307692307,2666312.03299001 
 02/13  12:00:00,70552225.40705529,6918807.47262314,4305273.535060312,0.0,120317.61388242606,272878.0669409727,314547.48715254469,18280417.53652324,25481479.245282998,174711.83921766209,14683792.610372186 
 02/13  13:00:00,58999304.51365209,6717600.295255575,4180063.4380613539,0.0,128845.687406929,371277.5625118212,315875.5964208056,18426841.2305208,26060603.773584907,174711.32307692307,2623485.606813125 
 02/13  14:00:00,56717616.8047158,6658475.6349357259,4143250.954738158,0.0,151184.02803407337,58767.24664102415,313088.3502693953,16397441.615595518,26060603.773584907,174711.32307692307,2760093.877839992 
 02/13  15:00:00,56448662.91753456,6738836.284362706,4193287.3398376468,0.0,188512.4951938602,803.6713565032059,313463.25455438296,16474605.074161819,25481479.245282998,174711.32307692307,2882964.229707936 
 02/13  16:00:00,57739824.35778829,7264541.597439226,4520429.990988115,0.0,439839.5476217616,0.0,320711.9555961115,15400393.042389889,26639728.301886795,174711.32307692307,2979468.598789654 
 02/13  17:00:00,66423699.43020577,8764199.64834277,5453608.573093584,0.0,533128.5691790098,0.0,324246.1663504205,20314766.301088863,27797977.358490588,174711.32307692307,3061061.490583736 
 02/13  18:00:00,95731148.29540739,11596225.044593677,7215842.402597489,2716916.958626338,12915058.815769695,66137.81243446475,785308.8329617748,27002650.834350539,30114475.471698125,174711.32307692307,3143820.7992984747 
 02/13  19:00:00,96146968.82127567,14507388.875071165,9027397.811699463,4687055.575693236,9810652.328422906,194774.76085923307,671596.2279934866,23151923.60059998,30693600.0,174711.32307692307,3227868.317859045 
 02/13  20:00:00,88547648.01766755,15124913.10507851,9411605.768713396,5369331.348869315,8929494.340985682,0.0,636852.2183290568,16631012.19537,28956226.415094329,174711.32307692307,3313501.30215013 
 02/13  21:00:00,79306093.07928068,12856328.916216782,7999984.037656624,5085296.064472827,8088937.908864485,0.0,605787.213420698,13875337.717232075,27218852.83018867,174711.32307692307,3400857.068151879 
 02/13  22:00:00,70599018.69095923,9736013.509569077,6058334.027295979,4089467.3765159586,7533272.889168854,0.0,585217.7883279589,12905688.38940534,26060603.773584907,174711.4404099753,3455709.496681179 
 02/13  23:00:00,97578261.38104378,8377215.760512831,5212719.119114616,3606194.0775761606,6454411.1252851,0.0,488549.93048489358,10584203.508468977,23164981.132075468,174713.00453853224,39515273.722987469 
 02/13  24:00:00,52615630.55911623,3762436.7175633169,2341226.285655135,1370171.3147942557,5499561.370778522,0.0,510916.5583583261,7474795.4622174,20848483.01886791,174711.50354179889,10633328.32733969 
 02/14  01:00:00,37392888.006488967,1868155.9338272736,1162512.0138114598,680348.5343547517,4791766.407205709,0.0,484744.3081070769,5336222.4907335559,20269358.49056605,174711.32307692307,2625068.5048062379 
 02/14  02:00:00,33573452.20076993,1120924.1156763742,697531.0351369232,408209.12061285096,4067246.1605128676,0.0,457958.68848164947,4791673.790032356,19111109.433962268,174711.32307692307,2744088.533277776 
 02/14  03:00:00,153309970.2109136,747231.8181508987,464980.9786745365,272139.4137419008,3387965.919025292,0.0,355955.5519889006,4142562.3853859559,18531984.905660374,174714.30236209939,125232434.93592373 
 02/14  04:00:00,170815463.68028916,747231.8181508987,464980.9786745365,272139.4137419008,2785980.710798243,0.0,179914.37821089373,3827688.5266093469,17952860.377358509,174715.26294964474,144409952.21379525 
 02/14  05:00:00,29725194.230441847,830800.7824789592,517042.6460280523,301001.6125189955,2302142.7767967574,0.0,392718.12390933526,4306401.897551696,18531984.905660374,174711.32307692307,2368390.1624207969 
 02/14  06:00:00,36669033.77488025,2279736.90256547,1418531.5175705115,822423.298920225,2025600.6124045817,2953904.5639788995,417828.0083186475,4981726.8006359939,19111109.433962268,174711.3295438914,2483461.3069798389 
 02/14  07:00:00,46989561.83926964,5352080.362597074,3330397.9653719367,965411.4392174832,2507019.510292027,2345814.0494944916,427028.9657151505,7860274.258021971,21427607.547169798,174711.32307692307,2599216.418312906 
 02/14  08:00:00,55265785.297980669,6772905.533074146,4214493.236379812,0.0,2762723.28885582,2104531.8056416038,433906.92663011097,11762083.787051518,24323230.18867926,174711.32307692307,2717199.208591634 
 02/14  09:00:00,57612590.48760429,7197625.315216756,4478852.137655444,0.0,2841644.267902926,631010.9385491898,419292.3458482899,14130331.600459932,24902354.716981118,174711.32307692307,2836767.84191378 
 02/14  10:00:00,57523364.577539447,7398679.715684263,4603943.100404167,0.0,156991.00871502216,374127.5688319373,316987.06915760957,16649905.050285642,24902354.716981118,174711.32307692307,2945665.0244026926 
 02/14  11:00:00,57522928.49575667,7197472.538316704,4478733.003405208,0.0,176574.8460618088,238849.43216905395,316067.6399603189,17044605.15131696,24902354.716981118,174711.40715058725,2993559.7603949934 
 02/14  12:00:00,58848148.683179307,6918807.47262314,4305273.535060312,0.0,197216.4050207824,153450.49303278709,315758.30705377538,18280417.53652324,25481479.245282998,174711.33970670968,3021034.348875753 
 02/14  13:00:00,59434475.18996381,6717600.295255575,4180063.4380613539,0.0,229722.5954992242,214143.93092196514,317467.86500441699,18426841.2305208,26060603.773584907,174711.32307692307,3113320.738038787 
 02/14  14:00:00,57254724.25719949,6658475.6349357259,4143250.954738158,0.0,319218.0484612229,2052.188059503548,317971.86105541189,16397441.615595518,26060603.773584907,174711.38066554315,3180998.800103415 
 02/14  15:00:00,57724915.26895434,6738836.284362706,4193287.3398376468,0.0,1078030.388886505,0.0,343815.3370600382,16474605.074161819,25481479.245282998,174711.32307692307,3240150.2762859135 
 02/14  16:00:00,59807599.77334251,7264541.597439226,4520429.990988115,0.0,2088395.0526451078,0.0,380214.6376128874,15400393.042389889,26639728.301886795,174711.32307692307,3339185.8273037655 
 02/14  17:00:00,69548930.91186393,8764199.64834277,5453608.573093584,0.0,3184461.2650735576,0.0,420370.8556371446,20314766.301088863,27797977.358490588,174711.32307692307,3438835.5870606347 
 02/14  18:00:00,103259672.83682193,11596225.044593677,7215842.402597489,1811277.9724175586,20734848.054260814,0.0,1072747.216987822,27002650.834350539,30114475.471698125,174711.32307692307,3536894.516839047 
 02/14  19:00:00,100522599.61959949,14507388.875071165,9027397.811699463,4687055.575693236,14458223.542446772,3308.682906021424,840744.0292079641,23151923.60059998,30693600.0,174711.9941233295,2978245.507851338 
 02/14  20:00:00,91812122.7243399,15124913.10507851,9411605.768713396,5369331.348869315,12464635.247802258,0.0,767080.7485085162,16631012.19537,28956226.415094329,174711.32307692307,2912606.571826445 
 02/14  21:00:00,81903527.62675427,12856328.916216782,7999984.037656624,5085296.064472827,10901939.286707793,0.0,709354.5682698556,13875337.717232075,27218852.83018867,174711.32307692307,3081722.882933013 
 02/14  22:00:00,72754521.8202878,9736013.509569077,6058334.027295979,4089467.3765159586,9820780.77880577,0.0,669373.1550775172,12905688.38940534,26060603.773584907,174711.32307692307,3239549.4869562608 
 02/14  23:00:00,96957767.39557944,8377215.760512831,5212719.119114616,3606194.0775761606,8243189.893312918,0.0,496771.06608634869,10584203.508468977,23164981.132075468,174713.44615681657,37097779.39227557 
 02/14  24:00:00,45924862.03943115,3762436.7175633169,2341226.285655135,1370171.3147942557,6754641.773832481,0.0,557125.2943587684,7474795.4622174,20848483.01886791,174711.32307692307,2641270.84906509 
