Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 07/04  20:00:00,72788448.42,12856328.92,7999984.038,3344909.822,11078561.75,0,717195.735,15746584.5,17777786.93,19234155.53
 07/04  21:00:00,66250519.76,9736013.51,6058334.027,4033703.787,10329198.79,0,689435.8286,15005752.23,17021285.36,18580540.53
 07/04  22:00:00,57612438.91,8377215.761,5212719.119,3056193.48,9263242.303,0,650052.1053,12558177.54,15130031.43,15579900.65
 07/04  23:00:00,41707150.33,3762436.718,2341226.286,1370171.315,7969050.03,0,602218.5171,8957841.805,13617028.29,10890145.81
 07/04  24:00:00,34200786.11,1868155.934,1162512.014,680348.5344,6953710.727,0,564709.4632,6515120.52,13238777.5,7703213.535
 07/05  01:00:00,30389409.08,1120924.116,697531.0351,408209.1206,6137507.979,0,534566.3314,5687389.065,12482275.93,6593978.992
 07/05  02:00:00,28082390.51,747231.8182,464980.9787,272139.4137,5500766.038,0,511041.2472,5072887.927,12104025.15,5877816.316
 07/05  03:00:00,26989990.21,747231.8182,464980.9787,272139.4137,5058759.367,0,494702.0173,4731382.998,11725774.36,5434649.849
 07/05  04:00:00,27664703.59,830800.7825,517042.646,279326.8925,4745664.051,0,483116.9348,5122223.962,12104025.15,5893729.834
 07/05  05:00:00,33513746.73,2279736.903,1418531.518,535757.6816,4559959.604,2384107.754,502134.17,5715893.749,12482275.93,6572349.9
 07/05  06:00:00,42135768.31,5352080.363,3330397.965,0,5342688.431,1762591.805,522132.3601,8361910.44,13995279.07,9676540.506
 07/05  07:00:00,49253990.42,6772905.533,4214493.236,0,5231527.981,1450096.455,515424.3763,11969947.87,15886533,13997602.68
 07/05  08:00:00,50098922.65,7197625.315,4478852.138,0,4104494.479,340197.1176,462044.4329,14283171.63,16264783.79,17007139.95
 07/05  09:00:00,48726445.16,7398679.716,4603943.1,0,197458.532,222277.5879,316491.313,16761917.53,16264783.79,20335388.63
 07/05  10:00:00,48866291.62,7197472.538,4478733.003,0,186557.5804,124412.8969,315071.4704,17252469.23,16264783.79,21233980.48
 07/05  11:00:00,54838726.49,6918807.473,4305273.535,0,204265.3648,66196.40608,315028.3622,23266769.11,16643034.57,29297527.36
 07/05  12:00:00,52935783.54,6717600.295,4180063.438,0,262024.1494,151362.447,318030.5563,21218250.97,17021285.36,26166370.22
 07/05  13:00:00,48206262.62,6658475.635,4143250.955,0,348653.1208,0,319561.3822,16576912.72,17021285.36,20124619.94
 07/05  14:00:00,51484518.25,6738836.284,4193287.34,0,1374474.889,0,355773.0102,18932571.78,16643034.57,23028940.6
 07/05  15:00:00,52048999.88,7264541.597,4520429.991,0,3520702.922,0,433665.2852,15594060.63,17399536.15,18870205.76
 07/05  16:00:00,61979692.12,8764199.648,5453608.573,0,6065423.07,0,526401.7324,19608465.71,18156037.72,22679893.78
 07/05  17:00:00,96710413.68,11596225.04,7215842.403,0,28219025.4,0,1347232.243,25218875.34,19669040.86,28314673.3
 07/05  18:00:00,91346197.63,14507388.88,9027397.812,0,21075142.62,0,1083362.667,22095064.95,20047291.65,25096860.01
 07/05  19:00:00,81263679.35,15124913.11,9411605.769,0,16603023.66,0,920002.3654,16684476.81,18912539.29,19652849.35
 07/05  20:00:00,75075165.67,12856328.92,7999984.038,3344909.822,14148842.05,0,829733.6553,14412515.74,17777786.93,17406652.16
 07/05  21:00:00,67728070.18,9736013.51,6058334.027,4033703.787,12696081.05,0,776016.5882,13620373.13,17021285.36,16682748.58
 07/05  22:00:00,58690287.45,8377215.761,5212719.119,3056193.48,10956565.27,0,712723.8933,11429350.12,15130031.43,14033551.65
 07/05  23:00:00,43035571.83,3762436.718,2341226.286,1370171.315,9464935.289,0,624598.9215,8342117.761,13617028.29,10046682.72
 07/05  24:00:00,32015913.47,1868155.934,1162512.014,680348.5344,8325071.232,0,307768.0955,6258568.835,13238777.5,7351770.58
 07/06  01:00:00,28205869.85,1120924.116,697531.0351,408209.1206,7362628.657,0,272200.6009,5687389.065,12482275.93,6593978.992
 07/06  02:00:00,25634864.92,747231.8182,464980.9787,272139.4137,6556442.849,0,242445.4679,5072887.927,12104025.15,5877816.316
 07/06  03:00:00,24232373.04,747231.8182,464980.9787,272139.4137,5898039.064,0,218113.086,4731382.998,11725774.36,5434649.849
 07/06  04:00:00,76513002.88,830800.7825,517042.646,279326.8925,5455425.239,0,432427.3236,5122223.962,12104025.15,5893729.834
 07/06  05:00:00,33288601.37,2279736.903,1418531.518,535757.6816,5210438.152,2079780.051,522788.1247,5715893.749,12482275.93,6572349.9
 07/06  06:00:00,78414861.64,5352080.363,3330397.965,0,7476586.002,1492338.95,598372.8157,40266224.44,13995279.07,60318312.82
 07/06  07:00:00,77030176.2,6772905.533,4214493.236,0,7047750.048,1259951.316,580544.3275,26569946.76,15886533,37172205.96
