Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 07/25  18:00:00,20047291.65,163524309.2,36634904.16,11427046.47,2119900.863,66308351.2,0,1889954.472,25096860.01,25096860.01
 07/25  19:00:00,18912539.29,147635823.9,38194225.01,11913425.02,2617690.088,54767598.21,0,1577496.377,19652849.35,19652849.35
 07/25  20:00:00,17777786.93,162945955.2,32465634.81,10126580.81,3344909.822,46232239.56,0,1351297.852,51647504.52,51647504.52
 07/25  21:00:00,17021285.36,194626668.3,24585954.75,7668775.278,4033703.787,44577761.78,0,1318957.928,95420227.64,95420227.64
 07/25  22:00:00,15130031.43,205741615.1,21154495.1,6598444.953,3056193.48,41314158.18,0,1227590.248,117260699.8,117260699.8
 07/25  23:00:00,13617028.29,62763286.72,9501203.977,2963586.28,1370171.315,24531399.21,0,733214.9263,10046682.72,10046682.72
 07/25  24:00:00,13238777.5,47102237.16,4717753.269,1471547.069,680348.5344,19072902.78,0,569137.4261,7351770.58,7351770.58
 07/26  01:00:00,12482275.93,38013875.31,2830651.962,882928.2412,408209.1206,14387642.35,0,428188.6312,6593978.992,6593978.992
 07/26  02:00:00,12104025.15,32369700.63,1887101.308,588618.8275,272139.4137,11304642.19,0,335357.4377,5877816.316,5877816.316
 07/26  03:00:00,11725774.36,29619189.69,1887101.308,588618.8275,272139.4137,9432398.181,0,278507.7547,5434649.849,5434649.849
 07/26  04:00:00,12104025.15,28953871.9,2098031.992,654411.6769,279326.8925,7698300.815,0,226045.5433,5893729.834,5893729.834
 07/26  05:00:00,12482275.93,36265026.13,5756753.656,1795628.869,714343.5755,6421240.065,2309773.545,212660.5843,6572349.9,6572349.9
 07/26  06:00:00,13995279.07,54434440.88,13515268.45,4215640.906,1677081.523,9112289.787,1949861.58,292479.0518,9676540.506,9676540.506
 07/26  07:00:00,15886533,67958630.79,17103223.81,5334784.892,2122303.434,11413165.13,1743598.066,357419.6541,13997602.68,13997602.68
 07/26  08:00:00,16264783.79,72038924.86,18175923.3,5669378.01,2092326.362,12080407.24,388982.6773,359983.1285,17007139.95,17007139.95
 07/26  09:00:00,16264783.79,63618826.78,18683578.11,5827724.136,1992234.075,316873.2563,185617.7406,12626.91736,20335388.63,20335388.63
 07/26  10:00:00,16264783.79,64936584.1,18175584.49,5669272.33,1929198.204,1588645.321,28587.22412,46532.11823,21233980.48,21233980.48
 07/26  11:00:00,16643034.57,66481063.12,17471773.1,5449741.649,1841863.714,2568316.528,0,72425.12728,22433908.05,22433908.05
 07/26  12:00:00,17021285.36,68093388.33,16963779.47,5291289.843,1778827.843,4682857.891,0,128553.947,22226793.97,22226793.97
 07/26  13:00:00,17021285.36,68880098.66,16814294.9,5244663.075,1760278.613,7705498.142,0,209458.6289,20124619.94,20124619.94
 07/26  14:00:00,16643034.57,74159001.09,17017381.44,5308009.202,1759104.765,13513855.01,0,365135.6654,19552480.44,19552480.44
 07/26  15:00:00,17399536.15,82815168.8,18344809.79,5722056.565,1764342.46,20166526.52,0,547691.5525,18870205.76,18870205.76
 07/26  16:00:00,18156037.72,97208792.6,22132002.26,6903345.977,1788399.169,24864699.28,0,684414.4091,22679893.78,22679893.78
 07/26  17:00:00,19669040.86,167236770.1,29283350.55,9133972.506,1876529.87,76779271.8,0,2179931.223,28314673.3,28314673.3
 07/26  18:00:00,20047291.65,201512207.4,36634904.16,11427046.47,2119900.863,61310192.23,0,1777154.67,68195716.28,68195716.28
 07/26  19:00:00,18912539.29,191369796.2,38194225.01,11913425.02,2617690.088,51812625.16,0,1520195.074,66399095.63,66399095.63
 07/26  20:00:00,17777786.93,116668743.6,32465634.81,10126580.81,3344909.822,34516516.01,0,1030663.06,17406652.16,17406652.16
 07/26  21:00:00,17021285.36,97397490.24,24585954.75,7668775.278,4033703.787,26600434.91,0,804587.5817,16682748.58,16682748.58
 07/26  22:00:00,15130031.43,81161116.14,21154495.1,6598444.953,3056193.48,20563163.9,0,625235.6291,14033551.65,14033551.65
 07/26  23:00:00,13617028.29,53544192.74,9501203.977,2963586.28,1370171.315,15570840.9,0,474679.2663,10046682.72,10046682.72
 07/26  24:00:00,13238777.5,39972134.06,4717753.269,1471547.069,680348.5344,12142722.71,0,369214.3917,7351770.58,7351770.58
 07/27  01:00:00,12482275.93,33091781.41,2830651.962,882928.2412,408209.1206,9604268.135,0,289469.0283,6593978.992,6593978.992
 07/27  02:00:00,12104025.15,28191877.85,1887101.308,588618.8275,272139.4137,7245807.517,0,216369.3243,5877816.316,5877816.316
 07/27  03:00:00,11725774.36,26074315.28,1887101.308,588618.8275,272139.4137,5988606.29,0,177425.2239,5434649.849,5434649.849
 07/27  04:00:00,12104025.15,27130439.7,2098031.992,654411.6769,279326.8925,5926798.965,0,174115.1927,5893729.834,5893729.834
 07/27  05:00:00,12482275.93,36192112.07,5756753.656,1795628.869,714343.5755,6282248.785,2379075.218,209436.1352,6572349.9,6572349.9
 07/27  06:00:00,13995279.07,53102560.95,13515268.45,4215640.906,1677081.523,7831834.881,1936598.869,254316.6263,9676540.506,9676540.506
 07/27  07:00:00,15886533,64516233.78,17103223.81,5334784.892,2122303.434,8142628.996,1668855.076,260301.8811,13997602.68,13997602.68
 07/27  08:00:00,16264783.79,66553731.17,18175923.3,5669378.01,2092326.362,6716114.582,424875.6322,203189.5545,17007139.95,17007139.95
 07/27  09:00:00,16264783.79,63541244.82,18683578.11,5827724.136,1992234.075,214645.9286,213041.5894,9848.566438,20335388.63,20335388.63
 07/27  10:00:00,16264783.79,63618807.74,18175584.49,5669272.33,1929198.204,230919.7263,106151.3204,8917.41289,21233980.48,21233980.48
 07/27  11:00:00,16643034.57,64193831.45,17471773.1,5449741.649,1841863.714,328586.9981,14382.70649,10540.65785,22433908.05,22433908.05
 07/27  12:00:00,17021285.36,64088925.74,16963779.47,5291289.843,1778827.843,784219.4431,0,22729.81402,22226793.97,22226793.97
 07/27  13:00:00,17021285.36,62952058.91,16814294.9,5244663.075,1760278.613,1932513.049,0,54403.96705,20124619.94,20124619.94
 07/27  14:00:00,16643034.57,66392223.06,17017381.44,5308009.202,1759104.765,5946975.094,0,165237.4052,19552480.44,19552480.44
 07/27  15:00:00,17399536.15,74529505.26,18344809.79,5722056.565,1764342.46,12091788.47,0,336766.0481,18870205.76,18870205.76
 07/27  16:00:00,18156037.72,89589526.37,22132002.26,6903345.977,1788399.169,17439244.94,0,490602.4502,22679893.78,22679893.78
 07/27  17:00:00,19669040.86,154709010,29283350.55,9133972.506,1876529.87,64558742.82,0,1872699.752,28314673.3,28314673.3
 07/27  18:00:00,20047291.65,144142238.1,36634904.16,11427046.47,2119900.863,47407140.02,0,1409094.737,25096860.01,25096860.01
 07/27  19:00:00,18912539.29,130951382.8,38194225.01,11913425.02,2617690.088,38508415.32,0,1152238.605,19652849.35,19652849.35
 07/27  20:00:00,17777786.93,112004889.8,32465634.81,10126580.81,3344909.822,29981640.4,0,901684.8231,17406652.16,17406652.16
 07/27  21:00:00,17021285.36,94301907.18,24585954.75,7668775.278,4033703.787,23595132.03,0,714307.3721,16682748.58,16682748.58
 07/27  22:00:00,15130031.43,78536513.84,21154495.1,6598444.953,3056193.48,18018325.28,0,545471.9504,14033551.65,14033551.65
 07/27  23:00:00,13617028.29,52016664.45,9501203.977,2963586.28,1370171.315,14092841.07,0,425150.7983,10046682.72,10046682.72
 07/27  24:00:00,13238777.5,39596558.58,4717753.269,1471547.069,680348.5344,11783423.92,0,352937.6997,7351770.58,7351770.58
 07/28  01:00:00,12482275.93,32711415.85,2830651.962,882928.2412,408209.1206,9237194.357,0,276177.2493,6593978.992,6593978.992
 07/28  02:00:00,12104025.15,28235472.01,1887101.308,588618.8275,272139.4137,7287856.261,0,217914.7362,5877816.316,5877816.316
 07/28  03:00:00,11725774.36,26190519.37,1887101.308,588618.8275,272139.4137,6100379.306,0,181856.3103,5434649.849,5434649.849
 07/28  04:00:00,12104025.15,26402732.59,2098031.992,654411.6769,279326.8925,5218186.988,0,155020.0324,5893729.834,5893729.834
 07/28  05:00:00,12482275.93,34872257.96,5756753.656,1795628.869,714343.5755,4646542.472,2736885.951,167477.6062,6572349.9,6572349.9
 07/28  06:00:00,13995279.07,51589292.75,13515268.45,4215640.906,1677081.523,6045431.094,2254681.539,209369.5174,9676540.506,9676540.506
 07/28  07:00:00,15886533,63171113.17,17103223.81,5334784.892,2122303.434,6579351.578,1926309.44,221003.9042,13997602.68,13997602.68
 07/28  08:00:00,16264783.79,65728103.34,18175923.3,5669378.01,2092326.362,5810133.516,528339.3966,180079.0274,17007139.95,17007139.95
 07/28  09:00:00,16264783.79,63588192.6,18683578.11,5827724.136,1992234.075,199752.3414,274430.8579,10300.55021,20335388.63,20335388.63
 07/28  10:00:00,16264783.79,63667768.51,18175584.49,5669272.33,1929198.204,228649.3077,156692.1673,9607.585926,21233980.48,21233980.48
 07/28  11:00:00,16643034.57,64286324.45,17471773.1,5449741.649,1841863.714,410760.3005,22161.29647,13081.77492,22433908.05,22433908.05
 07/28  12:00:00,17021285.36,64446363.47,16963779.47,5291289.843,1778827.843,1131939.425,0,32447.40235,22226793.97,22226793.97
 07/28  13:00:00,17021285.36,63493330.82,16814294.9,5244663.075,1760278.613,2459302.13,0,68886.78761,20124619.94,20124619.94
 07/28  14:00:00,16643034.57,66264176.55,17017381.44,5308009.202,1759104.765,5821686.52,0,162479.6163,19552480.44,19552480.44
 07/28  15:00:00,17399536.15,73980019.73,18344809.79,5722056.565,1764342.46,11555702.47,0,323366.4869,18870205.76,18870205.76
 07/28  16:00:00,18156037.72,89333265.24,22132002.26,6903345.977,1788399.169,17188375.27,0,485210.8439,22679893.78,22679893.78
 07/28  17:00:00,19669040.86,152325400.2,29283350.55,9133972.506,1876529.87,62232796.4,0,1815035.327,28314673.3,28314673.3
 07/28  18:00:00,20047291.65,141798020.9,36634904.16,11427046.47,2119900.863,45123042.56,0,1348974.893,25096860.01,25096860.01
 07/28  19:00:00,18912539.29,129247037.4,38194225.01,11913425.02,2617690.088,36848174.66,0,1108133.895,19652849.35,19652849.35
 07/28  20:00:00,17777786.93,110965207.4,32465634.81,10126580.81,3344909.822,28969458.63,0,874183.8939,17406652.16,17406652.16
 07/28  21:00:00,17021285.36,93629677.03,24585954.75,7668775.278,4033703.787,22941980.21,0,695229.0684,16682748.58,16682748.58
 07/28  22:00:00,15130031.43,78060337.61,21154495.1,6598444.953,3056193.48,17556281.26,0,531339.5989,14033551.65,14033551.65
 07/28  23:00:00,13617028.29,51298897.94,9501203.977,2963586.28,1370171.315,13396151.66,0,404073.7033,10046682.72,10046682.72
 07/28  24:00:00,13238777.5,37859194.43,4717753.269,1471547.069,680348.5344,10096464.7,0,302532.7744,7351770.58,7351770.58
 07/29  01:00:00,12482275.93,31261752.24,2830651.962,882928.2412,408209.1206,7625959.713,0,226882.5042,6804844.764,6804844.764
 07/29  02:00:00,12104025.15,26671191.49,1887101.308,588618.8275,272139.4137,5634100.302,0,166812.9979,6018393.498,6018393.498
 07/29  03:00:00,11725774.36,24074892.65,1887101.308,588618.8275,272139.4137,3978861.048,0,117459.2492,5504938.44,5504938.44
 07/29  04:00:00,12104025.15,23868232.96,2098031.992,654411.6769,279326.8925,2621021.257,0,77108.86782,6034307.016,6034307.016
 07/29  05:00:00,12482275.93,29700686.62,5756753.656,1795628.869,714343.5755,2106800.219,0,61668.13422,6783215.673,6783215.673
 07/29  06:00:00,13995279.07,53291691.75,13515268.45,4215640.906,1677081.523,3607588.789,5878116.939,163866.4983,10238849.23,10238849.23
 07/29  07:00:00,15886533,64876509.38,17103223.81,5334784.892,2122303.434,5919563.509,3170867.312,217013.2773,15122220.14,15122220.14
 07/29  08:00:00,16264783.79,70246565.8,18175923.3,5669378.01,2092326.362,6627449.169,2492864.481,229774.5621,18694066.13,18694066.13
 07/29  09:00:00,16264783.79,75748864.41,18683578.11,5827724.136,1992234.075,8091508.314,1897445.401,266388.1708,22725200.72,22725200.72
 07/29  10:00:00,16264783.79,78526016.41,18175584.49,5669272.33,1929198.204,10995815.59,1174880.807,341244.6179,23975235.52,23975235.52
 07/29  11:00:00,16643034.57,81294733.98,17471773.1,5449741.649,1841863.714,13492156.91,710705.7103,404862.3505,25280595.98,25280595.98
 07/29  12:00:00,17021285.36,84428747.14,16963779.47,5291289.843,1778827.843,17725453.13,304453.4158,516186.1468,24827471.83,24827471.83
 07/29  13:00:00,17021285.36,86033881.61,16814294.9,5244663.075,1760278.613,22012463.86,71455.26454,630152.787,22479287.74,22479287.74
 07/29  14:00:00,16643034.57,88444999.69,17017381.44,5308009.202,1759104.765,25402907.61,31459.93645,727396.886,21555705.28,21555705.28
 07/29  15:00:00,17399536.15,93448997.62,18344809.79,5722056.565,1764342.46,28375144.1,6794.081264,822306.6953,21014007.79,21014007.79
 07/29  16:00:00,18156037.72,106828518.9,22132002.26,6903345.977,1788399.169,32292357.8,0,943544.3699,24612830.03,24612830.03
 07/29  17:00:00,19669040.86,126803390.9,29283350.55,9133972.506,1876529.87,35581141.94,0,1046886.582,30212465.26,30212465.26
 07/29  18:00:00,20047291.65,132129171.7,36634904.16,11427046.47,2119900.863,34002962.52,0,1007846.964,26889219.08,26889219.08
 07/29  19:00:00,18912539.29,123249436.6,38194225.01,11913425.02,2617690.088,29292968.84,0,873379.8234,21445208.42,21445208.42
 07/29  20:00:00,17777786.93,108151359.2,32465634.81,10126580.81,3344909.822,24471265.16,0,731026.1821,19234155.53,19234155.53
 07/29  21:00:00,17021285.36,94065356.28,24585954.75,7668775.278,4033703.787,21531333.67,0,643762.9023,18580540.53,18580540.53
 07/29  22:00:00,15130031.43,78946314.64,21154495.1,6598444.953,3056193.48,16919809.02,0,507440.0122,15579900.65,15579900.65
 07/29  23:00:00,13617028.29,50890707.64,9501203.977,2963586.28,1370171.315,12183317.76,0,365253.8655,10890145.81,10890145.81
 07/29  24:00:00,13238777.5,37465066.38,4717753.269,1471547.069,680348.5344,9373970.25,0,279455.9061,7703213.535,7703213.535
 07/30  01:00:00,12482275.93,31052526.91,2830651.962,882928.2412,408209.1206,7423771.878,0,219845.0081,6804844.764,6804844.764
 07/30  02:00:00,12104025.15,26775280.3,1887101.308,588618.8275,272139.4137,5736232.798,0,168769.3102,6018393.498,6018393.498
 07/30  03:00:00,11725774.36,24158521.47,1887101.308,588618.8275,272139.4137,4061148.765,0,118799.8755,5504938.44,5504938.44
 07/30  04:00:00,12104025.15,24177233.41,2098031.992,654411.6769,279326.8925,2922057.305,0,85073.37826,6034307.016,6034307.016
 07/30  05:00:00,12482275.93,30187459.53,5756753.656,1795628.869,714343.5755,2580418.504,0,74822.97151,6783215.673,6783215.673
 07/30  06:00:00,13995279.07,47587263.1,13515268.45,4215640.906,1677081.523,3834250.495,0,110893.38,10238849.23,10238849.23
 07/30  07:00:00,15886533,62081896.14,17103223.81,5334784.892,2122303.434,6329169.489,0,183658.5729,15122220.14,15122220.14
 07/30  08:00:00,16264783.79,68334215.1,18175923.3,5669378.01,2092326.362,7225784.037,0,211953.1819,18694066.13,18694066.13
 07/30  09:00:00,16264783.79,74293237.4,18683578.11,5827724.136,1992234.075,8547101.228,0,252615.3436,22725200.72,22725200.72
 07/30  10:00:00,16264783.79,76859776.64,18175584.49,5669272.33,1929198.204,10534795.3,0,310903.9617,23975235.52,23975235.52
 07/30  11:00:00,16643034.57,81012172.09,17471773.1,5449741.649,1841863.714,13919621.29,0,405541.779,25280595.98,25280595.98
 07/30  12:00:00,17021285.36,84881715.02,16963779.47,5291289.843,1778827.843,18469128.06,0,529932.3617,24827471.83,24827471.83
 07/30  13:00:00,17021285.36,87164944.76,16814294.9,5244663.075,1760278.613,23188688.85,0,656445.6756,22479287.74,22479287.74
 07/30  14:00:00,16643034.57,93613871.72,17017381.44,5308009.202,1759104.765,27961754.99,0,789572.8185,24135013.71,24135013.71
 07/30  15:00:00,17399536.15,100187194.4,18344809.79,5722056.565,1764342.46,32645241.67,0,925562.7108,23385644.89,23385644.89
 07/30  16:00:00,18156037.72,109355806.6,22132002.26,6903345.977,1788399.169,34765090.36,0,998101.0459,24612830.03,24612830.03
 07/30  17:00:00,19669040.86,128115021.5,29283350.55,9133972.506,1876529.87,36870200.41,0,1069462.039,30212465.26,30212465.26
 07/30  18:00:00,20047291.65,136496159.2,36634904.16,11427046.47,2119900.863,38263306.24,0,1114490.616,26889219.08,26889219.08
 07/30  19:00:00,18912539.29,128047352.3,38194225.01,11913425.02,2617690.088,33970718.15,0,993546.3556,21445208.42,21445208.42
 07/30  20:00:00,17777786.93,111591942.8,32465634.81,10126580.81,3344909.822,27823990.93,0,818883.948,19234155.53,19234155.53
 07/30  21:00:00,17021285.36,94989152.24,24585954.75,7668775.278,4033703.787,22433265.75,0,665626.7454,18580540.53,18580540.53
 07/30  22:00:00,15130031.43,79530992.61,21154495.1,6598444.953,3056193.48,17491073.29,0,520853.5149,15579900.65,15579900.65
 07/30  23:00:00,13617028.29,51486801.48,9501203.977,2963586.28,1370171.315,12764292.96,0,380372.8478,10890145.81,10890145.81
 07/30  24:00:00,13238777.5,37405564.25,4717753.269,1471547.069,680348.5344,9316809.544,0,277114.7961,7703213.535,7703213.535
 07/31  01:00:00,12482275.93,30782808.69,2830651.962,882928.2412,408209.1206,7366990.4,0,217774.0476,6593978.992,6593978.992
 07/31  02:00:00,12104025.15,26453035.04,1887101.308,588618.8275,272139.4137,5559913.589,0,163420.4447,5877816.316,5877816.316
 07/31  03:00:00,11725774.36,24086400.98,1887101.308,588618.8275,272139.4137,4059358.728,0,118758.4984,5434649.849,5434649.849
 07/31  04:00:00,12104025.15,24276669.85,2098031.992,654411.6769,279326.8925,3155152.952,0,91991.35369,5893729.834,5893729.834
 07/31  05:00:00,12482275.93,34771300.87,5756753.656,1795628.869,714343.5755,2925981.911,4394506.616,129460.4152,6572349.9,6572349.9
 07/31  06:00:00,13995279.07,50561063.54,13515268.45,4215640.906,1677081.523,4421501.258,2891925.886,167825.9243,9676540.506,9676540.506
 07/31  07:00:00,15886533,62379336.69,17103223.81,5334784.892,2122303.434,5324771.067,2422640.161,187477.6307,13997602.68,13997602.68
 07/31  08:00:00,16264783.79,66001307.51,18175923.3,5669378.01,2092326.362,5872538.477,738228.7972,180988.6731,17007139.95,17007139.95
 07/31  09:00:00,16264783.79,63820623.5,18683578.11,5827724.136,1992234.075,255024.5993,447556.7789,14332.74007,20335388.63,20335388.63
 07/31  10:00:00,16264783.79,63807570.66,18175584.49,5669272.33,1929198.204,329689.7109,192018.2638,13043.29373,21233980.48,21233980.48
 07/31  11:00:00,16643034.57,64450793.31,17471773.1,5449741.649,1841863.714,573239.4346,19688.06796,17543.40493,22433908.05,22433908.05
 07/31  12:00:00,17021285.36,64727672.9,16963779.47,5291289.843,1778827.843,1405989.307,0,39707.11018,22226793.97,22226793.97
 07/31  13:00:00,17021285.36,64074619.8,16814294.9,5244663.075,1760278.613,3026340.37,0,83137.53652,20124619.94,20124619.94
 07/31  14:00:00,16643034.57,67202155.58,17017381.44,5308009.202,1759104.765,6737964.504,0,184180.0821,19552480.44,19552480.44
 07/31  15:00:00,17399536.15,75200283.91,18344809.79,5722056.565,1764342.46,12748963.7,0,350369.4872,18870205.76,18870205.76
 07/31  16:00:00,18156037.72,90215211.16,22132002.26,6903345.977,1788399.169,18053102.44,0,502429.8239,22679893.78,22679893.78
 07/31  17:00:00,19669040.86,155296063.9,29283350.55,9133972.506,1876529.87,65143834.55,0,1874661.979,28314673.3,28314673.3
 07/31  18:00:00,20047291.65,259799471.6,36634904.16,11427046.47,2119900.863,58304139.54,0,1718136.804,129548050.3,129548050.3
 07/31  19:00:00,18912539.29,132667790.6,38194225.01,11913425.02,2617690.088,40183061.13,0,1194000.665,19652849.35,19652849.35
 07/31  20:00:00,17777786.93,112705088.4,32465634.81,10126580.81,3344909.822,30665405.34,0,918118.1049,17406652.16,17406652.16
 07/31  21:00:00,17021285.36,94468846.52,24585954.75,7668775.278,4033703.787,23759875.26,0,716503.4672,16682748.58,16682748.58
 07/31  22:00:00,15130031.43,78254259.31,21154495.1,6598444.953,3056193.48,17745002.55,0,536540.1474,14033551.65,14033551.65
 07/31  23:00:00,13617028.29,51337386.85,9501203.977,2963586.28,1370171.315,13433268.33,0,405445.6996,10046682.72,10046682.72
 07/31  24:00:00,13238777.5,38208990.39,4717753.269,1471547.069,680348.5344,10435534.49,0,313258.9404,7351770.58,7351770.58
 08/01  01:00:00,12482275.93,31477753.5,2830651.962,882928.2412,408209.1206,8039696.617,0,240012.6355,6593978.992,6593978.992
 08/01  02:00:00,12104025.15,27145302.62,1887101.308,588618.8275,272139.4137,6230612.685,0,184988.9246,5877816.316,5877816.316
 08/01  03:00:00,11725774.36,25248370.09,1887101.308,588618.8275,272139.4137,5186972.054,0,153114.2769,5434649.849,5434649.849
 08/01  04:00:00,12104025.15,25507977.54,2098031.992,654411.6769,280883.0674,4349107.105,0,127788.7156,5893729.834,5893729.834
 08/01  05:00:00,12482275.93,35327999.34,5756753.656,1795628.869,722103.3507,3965843.76,3877440.191,155603.4409,6572349.9,6572349.9
 08/01  06:00:00,13995279.07,51055855.07,13515268.45,4215640.906,1695299.333,5181792.207,2589439.011,186595.5803,9676540.506,9676540.506
 08/01  07:00:00,15886533,62610928.91,17103223.81,5334784.892,2145357.603,5751714.351,2193735.818,197976.3303,13997602.68,13997602.68
 08/01  08:00:00,16264783.79,84225383.85,18175923.3,5669378.01,2126098.268,6809766.903,647577.4788,208858.4193,34322996.62,34322996.62
 08/01  09:00:00,16264783.79,63752324.01,18683578.11,5827724.136,2035962.069,184647.6788,408653.9396,11585.63606,20335388.63,20335388.63
 08/01  10:00:00,16264783.79,63716936.18,18175584.49,5669272.33,1972241.451,198892.6688,193094.2789,9086.705274,21233980.48,21233980.48
 08/01  11:00:00,16643034.57,68499220.75,17471773.1,5449741.649,1883958.264,267008.7855,47972.88148,9206.993507,26726524.45,26726524.45
 08/01  12:00:00,17021285.36,63775665.27,16963779.47,5291289.843,1820237.646,407529.376,31910.50982,12837.53881,22226793.97,22226793.97
 08/01  13:00:00,17021285.36,62005393.91,16814294.9,5244663.075,1801486.92,971422.0761,0,27621.42694,20124619.94,20124619.94
 08/01  14:00:00,16643034.57,64440506.34,17017381.44,5308009.202,1800421.954,4007920.664,0,111258.0757,19552480.44,19552480.44
 08/01  15:00:00,17399536.15,71943739.06,18344809.79,5722056.565,1807091.109,9533409.725,0,266629.9658,18870205.76,18870205.76
 08/01  16:00:00,18156037.72,87140713.2,22132002.26,6903345.977,1839175.075,15005376.55,0,424881.8418,22679893.78,22679893.78
 08/01  17:00:00,19669040.86,147545587.4,29283350.55,9133972.506,1958359.07,57506309.38,0,1679881.683,28314673.3,28314673.3
 08/01  18:00:00,20047291.65,139676691,36634904.16,11427046.47,2282208.895,42903767.06,0,1284612.777,25096860.01,25096860.01
 08/01  19:00:00,18912539.29,141546326.7,38194225.01,11913425.02,2911112.1,36531039.08,0,1099447.599,31984538.42,31984538.42
 08/01  20:00:00,17777786.93,110498455.7,32465634.81,10126580.81,3739261.154,28132557.01,0,849982.4732,17406652.16,17406652.16
 08/01  21:00:00,17021285.36,92938773.5,24585954.75,7668775.278,4364469.293,21948841.87,0,666698.3799,16682748.58,16682748.58
 08/01  22:00:00,15130031.43,77339016.98,21154495.1,6598444.953,3133221.848,16780008.41,0,509263.5993,14033551.65,14033551.65
 08/01  23:00:00,13617028.29,50815927.96,9501203.977,2963586.28,1370171.315,12927318.94,0,389936.4454,10046682.72,10046682.72
 08/01  24:00:00,13238777.5,37824253.47,4717753.269,1471547.069,680348.5344,10062890.78,0,301165.7319,7351770.58,7351770.58
 08/02  01:00:00,12482275.93,30785673.22,2830651.962,882928.2412,408209.1206,7368558.425,0,219070.5495,6593978.992,6593978.992
 08/02  02:00:00,12104025.15,26014793.47,1887101.308,588618.8275,272139.4137,5133294.102,0,151798.3565,5877816.316,5877816.316
 08/02  03:00:00,11725774.36,23734893.71,1887101.308,588618.8275,272139.4137,3717068.009,0,109541.9391,5434649.849,5434649.849
 08/02  04:00:00,12104025.15,23984095.42,2098031.992,654411.6769,280883.0674,2868797.297,0,84216.41,5893729.834,5893729.834
 08/02  05:00:00,12482275.93,34683301.33,5756753.656,1795628.869,722103.3507,2568816.233,4663626.826,121746.5665,6572349.9,6572349.9
 08/02  06:00:00,13995279.07,50022099.65,13515268.45,4215640.906,1695299.333,3595483.443,3179838.928,148749.0129,9676540.506,9676540.506
 08/02  07:00:00,15886533,61426556.38,17103223.81,5334784.892,2145357.603,3876636.894,2928636.852,153780.64,13997602.68,13997602.68
 08/02  08:00:00,16264783.79,63295012.84,18175923.3,5669378.01,2126098.268,2612595.769,1343063.46,96030.30379,17007139.95,17007139.95
 08/02  09:00:00,16264783.79,64118479.17,18683578.11,5827724.136,2035962.069,137958.9034,817308.2703,15775.25926,20335388.63,20335388.63
 08/02  10:00:00,16264783.79,63926954.66,18175584.49,5669272.33,1972241.451,159349.6625,440525.2145,11217.25517,21233980.48,21233980.48
 08/02  11:00:00,16643034.57,64318209.61,17471773.1,5449741.649,1883958.264,209212.9759,216800.0994,9780.90399,22433908.05,22433908.05
 08/02  12:00:00,17021285.36,63759500.11,16963779.47,5291289.843,1820237.646,304159.3503,120724.4316,11230.03889,22226793.97,22226793.97
 08/02  13:00:00,17021285.36,61746530.33,16814294.9,5244663.075,1801486.92,719410.7411,0,20769.39138,20124619.94,20124619.94
 08/02  14:00:00,16643034.57,62916199.85,17017381.44,5308009.202,1800421.954,2524613.529,0,70258.72045,19552480.44,19552480.44
 08/02  15:00:00,17399536.15,69401725.03,18344809.79,5722056.565,1807091.109,7059804.975,0,198220.594,18870205.76,18870205.76
 08/02  16:00:00,18156037.72,84580735.12,22132002.26,6903345.977,1839175.075,12515062.38,0,355217.9069,22679893.78,22679893.78
 08/02  17:00:00,19669040.86,143981498.4,29283350.55,9133972.506,1958359.07,54043831.81,0,1578270.246,28314673.3,28314673.3
 08/02  18:00:00,20047291.65,137618255.7,36634904.16,11427046.47,2282208.895,40903834.71,0,1226109.624,25096860.01,25096860.01
 08/02  19:00:00,18912539.29,125516744.8,38194225.01,11913425.02,2911112.1,32938534.14,0,994059.4951,19652849.35,19652849.35
 08/02  20:00:00,17777786.93,108541705,32465634.81,10126580.81,3739261.154,26233032.79,0,792756.2509,17406652.16,17406652.16
 08/02  21:00:00,17021285.36,91422812.31,24585954.75,7668775.278,4364469.293,20478290.8,0,621288.212,16682748.58,16682748.58
 08/02  22:00:00,15130031.43,76492613.14,21154495.1,6598444.953,3133221.848,15960271.06,0,482597.1059,14033551.65,14033551.65
 08/02  23:00:00,13617028.29,49709574.33,9501203.977,2963586.28,1370171.315,11853875.38,0,357026.3611,10046682.72,10046682.72
 08/02  24:00:00,13238777.5,36629589.4,4717753.269,1471547.069,680348.5344,8903301.251,0,266091.1954,7351770.58,7351770.58
 08/03  01:00:00,12482275.93,30193430.03,2830651.962,882928.2412,408209.1206,6793922.876,0,201462.9093,6593978.992,6593978.992
 08/03  02:00:00,12104025.15,25884618.43,1887101.308,588618.8275,272139.4137,5007303.095,0,147614.326,5877816.316,5877816.316
 08/03  03:00:00,11725774.36,23971813.41,1887101.308,588618.8275,272139.4137,3947732.127,0,115797.5203,5434649.849,5434649.849
