Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 02/12  04:00:00,17952860.38,29179622.62,1887101.308,588618.8275,272139.4137,67356.81413,3895714.697,61832.31149,4453998.873,4453998.873
 02/12  05:00:00,18531984.91,31560141.99,2098031.992,654411.6769,301001.6125,39393.71289,4784657.19,75441.44792,5075219.452,5075219.452
 02/12  06:00:00,19111109.43,38346239.53,5756753.656,1795628.869,822423.2989,53888.69984,4824202.45,76449.79023,5905783.226,5905783.226
 02/12  07:00:00,21427607.55,55388319.56,13515268.45,4215640.906,1930822.878,132068.5732,4507196.589,73726.25374,9585988.358,9585988.358
 02/12  08:00:00,24323230.19,68736726.08,17103223.81,5334784.892,2443406.578,148416.5365,4553314.48,75177.41629,14755172.17,14755172.17
 02/12  09:00:00,24902354.72,75043882.32,18175923.3,5669378.01,2584077.338,60935.2302,5190735.759,82415.35717,18378062.61,18378062.61
 02/12  10:00:00,24902354.72,80558444.59,18683578.11,5827724.136,2644024.494,44169.59826,5913198.488,93369.91933,22450024.76,22450024.76
 02/12  11:00:00,24902354.72,81248697.95,18175584.49,5669272.33,2571451.336,54304.82369,6169619.72,97922.97806,23608187.56,23608187.56
 02/12  12:00:00,25481479.25,82599681.74,17471773.1,5449741.649,2470903.194,65157.30668,6480256.756,103511.9039,25076858.25,25076858.25
 02/12  13:00:00,26060603.77,81747038.8,16963779.47,5291289.843,2398330.036,73000.75385,6156111.642,98514.06411,24705409.22,24705409.22
 02/12  14:00:00,26060603.77,78155991.71,16814294.9,5244663.075,2376974.32,73539.10895,5367644.785,85598.18761,22132673.56,22132673.56
 02/12  15:00:00,25481479.25,75441053.4,17017381.44,5308009.202,2391313.391,80286.60499,3670392.914,58547.94911,21433642.66,21433642.66
 02/12  16:00:00,26639728.3,76598537.84,18344809.79,5722056.565,2498728.352,108613.1133,2585156.895,42268.11277,20657176.71,20657176.71
 02/12  17:00:00,27797977.36,87515474.95,22132002.26,6903345.977,2845264.53,236825.2962,2412642.856,43388.32225,25144028.34,25144028.34
